"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01"
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-12","   80","   90",,," 1042","1.86","   20","0.0","0.0",,"68","48","  138","   90",,,"   90",,"21.0",,,"30.0","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-13","   50","   70",,," 1030","0.00","   42","0.0","0.0",,"64","45","  300","  330",,,"  315",,"16.1",,,"31.1","    1","    1",,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-14","   70","   90",,," 0424","0.00","   70","0.0","0.0",,"61","37","  504","   30",,,"  360",,"13.0",,,"21.9",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-15","   70","  100",,," 0842","0.00","   32","0.0","0.0",,"69","35","  234","  120",,,"  180",,"12.1",,,"20.8",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-16","  100","  100",,," 1248","2.62","    1","0.0","0.0",,"73","57","    6","  180",,,"  180",,"17.0",,,"30.0",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-17","   90","  100",,," 1612","0.71","    0","0.0","0.0",,"71","43","    0","  360",,,"  360",,"23.0",,,"34.4","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-18","   10","    0",,," 0906","0.00","  100","0.0","0.0",,"61","39","  726","   70",,,"   45",,"17.0",,,"25.3",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-19","  100","  100",,," 2206","0.80","    0","0.0","0.0",,"57","41","    0","  160",,,"  180",,"17.9",,,"35.6","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-20","   80","  100",,," 2348","1.21","    0","0.0","0.0",,"75","57","    0","  190",,,"  315",,"17.9",,,"38.0","    1",,"    1",,,,,"    1",,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-21","   10","    0",,," 0100","0.00","  100","0.0","0.0",,"61","39","  732","  330",,,"  360",,"17.0",,,"35.6",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-22","   10","    0",,," 0930","0.00","  100","0.0","0.0",,"72","34","  732","  110",,,"  135",,"14.1",,,"19.5",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-23","  100","  100",,," 1518","0.48","    3","0.0","0.0",,"71","43","   18","  170",,,"  180",,"15.0",,,"30.0","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-24","   40","   30",,," 1036","0.36","   85","0.0","0.0",,"68","45","  630","  270",,,"  270",,"23.0",,,"38.0","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-25","   80","   90",,," 1118","0.00","   21","0.0","0.0",,"64","44","  156","   60",,,"   45",,"10.1",,,"16.1","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-26","  100","  100",,," 1712","0.43","    0","0.0","0.0",,"56","50","    0","   30",,,"  360",,"10.1",,,"13.9","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-27","  100","  100",,," 1806","1.69","    0","0.0","0.0",,"62","51","    0","  100",,,"  135",,"17.0",,,"31.1","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-28","  100","  100",,," 0200","0.06","    0","0.0","0.0",,"70","57","    0","   70",,,"  180",,"14.1",,,"20.8","    1","    1","    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-29","  100","  100",,," 1530","1.95","    0","0.0","0.0",,"65","59","    0","   90",,,"  135",,"23.0",,,"30.0","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-30","   40","   20",,," 1136","0.04","   85","0.0","0.0",,"68","47","  636","  250",,,"  225",,"21.0",,,"32.2","    1",,,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-03-31","   70","   90",,," 1218","0.00","   57","0.0","0.0",,"68","42","  432","  270",,,"  315",,"16.1",,,"20.8",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-01","   50","   40",,," 1212","0.00","   82","0.0","0.0",,"79","42","  618","  130",,,"  180",,"8.1",,,"16.1",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-02","  100","  100",,," 1354","0.08","    0","0.0","0.0",,"67","54","    0","  130",,,"  135",,"12.1",,,"20.8","    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-03","   80","  100",,," 1718","0.00","    0","0.0","0.0",,"74","62","    0","  260",,,"  270",,"8.1",,,"12.8","    1","    1",,,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-04","   30","   20",,," 1500","0.00","   80","0.0","0.0",,"68","44","  606","  340",,,"  360",,"17.0",,,"26.4","    1",,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-05","   20","   20",,," 1448","0.00","   89","0.0","0.0",,"71","39","  678","   40",,,"   45",,"12.1",,,"18.3",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-06","   80","   60",,," 1906","0.10","   55","0.0","0.0",,"77","49","  414","  150",,,"  180",,"14.1",,,"26.4",,,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-07","   90","   90",,," 2036","0.10","   22","0.0","0.0",,"78","58","  168","  170",,,"  180",,"14.1",,,"24.2","    1",,"    1",,,,,,,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-08","   30","   20",,," 1206","0.64","   72","0.0","0.0",,"77","50","  552","  270",,,"  270",,"19.9",,,"28.9","    1",,"    1",,,,,"    1",,,,,,"    1",,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-09","    0","    0",,," 1442","0.00","  100","0.0","0.0",,"74","44","  768","  290",,,"  270",,"16.1",,,"24.2",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-10","    0","    0",,," 1248","0.00","  100","0.0","0.0",,"79","41","  768","  330",,,"  315",,"12.1",,,"15.0",,,,,,,,,,,,,,,,,,,,
"USW00003940","JACKSON INTERNATIONAL AIRPORT, MS US","1980-04-11","   80","   90",,," 1442","4.80","    4","0.0","0.0",,"64","50","   30","  130",,,"  135",,"17.9",,,"30.0",,,"    1",,"    1",,,,,,,,,"    1",,,,,,
